,TYPE,strikePrice,expiryDate,underlying,identifier,openInterest,changeinOpenInterest,pchangeinOpenInterest,totalTradedVolume,impliedVolatility,lastPrice,change,pChange,totalBuyQuantity,totalSellQuantity,bidQty,bidprice,askQty,askPrice,underlyingValue
0,PE,42600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42600.00,1675,1653,7513.636363636364,3304,12.96,536.95,-553.05,-50.73853211009174,4325,3825,100,533.0,100,537.85,42132.55
0,CE,42700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42700.00,13499,2361,21.19770156221943,188376,10.38,74.0,55.5,300.0,48325,22350,25,73.4,125,73.55,42132.55
0,PE,42700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42700.00,759,566,293.2642487046632,2062,13.61,607.95,-532.25,-46.680406946149795,7575,5100,25,610.7,100,617.05,42132.55
0,CE,42800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42800.00,12113,9733,408.9495798319328,126694,10.43,55.2,40.050000000000004,264.3564356435644,56950,6625,75,55.6,375,56.3,42132.55
0,PE,42800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42800.00,260,228,712.5,1091,13.88,695.0,-595.2,-46.13238257634475,4575,4725,150,698.25,25,701.9,42132.55
0,CE,42900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE42900.00,9231,6548,244.05516213194187,98414,10.65,44.0,32.05,268.2008368200837,59750,10200,150,43.3,25,43.45,42132.55
0,PE,42900,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE42900.00,157,156,15600.0,328,14.4,785.4,-563.6,-41.779095626389925,24375,2475,750,705.15,75,791.4,42132.55
0,CE,43000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43000.00,55024,39476,253.89760740931308,363407,10.96,35.0,24.55,234.9282296650718,105850,58125,25,33.6,25,35.0,42132.55
0,PE,43000,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43000.00,3005,2518,517.0431211498973,5271,15.11,879.95,-537.95,-37.93991113618732,28100,7925,100,873.15,125,877.3,42132.55
0,CE,43100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43100.00,6445,5095,377.4074074074074,71015,11.07,26.95,18.2,208.0,61450,5700,75,26.05,175,26.35,42132.55
0,PE,43100,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43100.00,5,4,400.0,5,15.91,971.8,-600.1000000000001,-38.17672879954196,24375,6525,175,966.3,200,1017.1,42132.55
0,CE,43200,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43200.00,8210,7387,897.5698663426489,87855,11.33,20.85,13.200000000000001,172.54901960784315,74475,8675,175,20.2,875,20.85,42132.55
0,PE,43200,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43200.00,1,1,0.0,1,26.7,1240.0,-2288.8,-64.86057583314442,23675,3650,125,1049.0,75,1067.65,42132.55
0,CE,43300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43300.00,5944,5944,0.0,43108,11.55,16.3,-176.89999999999998,-91.5631469979296,69025,3175,25,16.0,50,16.8,42132.55
0,PE,43300,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43300.00,1,1,0.0,1,13.87,1120.0,-2495.85,-69.02526376923821,23650,2675,225,1149.9,25,1162.95,42132.55
0,CE,43400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43400.00,6921,6170,821.5712383488682,64805,11.94,13.05,7.200000000000001,123.07692307692311,69625,9925,100,13.65,100,13.75,42132.55
0,PE,43400,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43400.00,2,2,0.0,3,17.1,1244.5,-2459.05,-66.39710547987741,4725,4350,25,1244.55,2075,1309.4,42132.55
0,CE,43500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43500.00,62519,55380,775.7388990054629,256476,12.21,11.0,5.85,113.59223300970874,252650,20475,64400,11.0,150,11.25,42132.55
0,PE,43500,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43500.00,381,381,0.0,650,18.57,1350.0,-2857.8999999999996,-67.91748853347275,5050,5025,25,1262.45,2675,1365.85,42132.55
0,CE,43600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43600.00,9597,9597,0.0,44572,12.35,8.3,-151.64999999999998,-94.81087839949983,73300,16400,875,7.9,900,8.8,42132.55
0,PE,43600,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43600.00,4,4,0.0,4,19.99,1455.0,-2425.65,-62.506281164237954,3875,3125,750,1399.3,400,1465.55,42132.55
0,CE,43700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43700.00,94,94,0.0,587,13.25,9.0,-153.9,-94.47513812154696,44800,6350,75,4.15,675,8.95,42132.55
0,PE,43700,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023PE43700.00,0,0,0.0,0,0.0,0.0,0.0,0.0,3325,3500,125,1505.25,125,1611.15,42132.55
0,CE,43800,20-Apr-2023,BANKNIFTY,OPTIDXBANKNIFTY20-04-2023CE43800.00,542,542,0.0,4507,13.17,6.35,-146.15,-95.8360655737705,56175,5975,100,6.4,25,6.45,42132.55
